number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_lr,params_tau,params_update_every,state
0,194.1892524288836,2024-12-09 15:02:26.478207,2024-12-09 15:34:12.304595,0 days 00:31:45.826388,96,22805,0.8200000000000001,1.440188621550877e-05,0.001980193947005088,9,COMPLETE
1,-33.129617439236974,2024-12-09 15:34:12.305596,2024-12-09 16:46:24.592072,0 days 01:12:12.286476,192,518446,0.89,4.963365905444752e-05,0.00740294056425784,2,COMPLETE
2,-54.68727960834088,2024-12-09 16:46:24.593072,2024-12-09 17:57:40.871103,0 days 01:11:16.278031,160,38899,0.91,2.440565414977734e-05,0.0008920572489224547,1,COMPLETE
3,103.64223232106822,2024-12-09 17:57:40.872103,2024-12-09 18:36:23.828321,0 days 00:38:42.956218,32,18066,0.8,3.418346444584742e-05,0.0003288831491660448,8,COMPLETE
4,37.703129993112185,2024-12-09 18:36:23.829321,2024-12-09 19:50:36.025218,0 days 01:14:12.195897,32,90523,0.9500000000000001,0.0005564357183189761,0.007200357461343577,2,COMPLETE
5,22.964016015584388,2024-12-09 19:50:36.026218,2024-12-09 20:40:04.518744,0 days 00:49:28.492526,96,40218,0.8200000000000001,0.00025622645643952395,0.0006362938068696435,17,COMPLETE
6,-200.5575257135282,2024-12-09 20:40:04.519744,2024-12-09 21:43:37.253400,0 days 01:03:32.733656,96,23728,0.98,0.0008098609657038544,0.00012805682809045215,1,COMPLETE
7,175.34834942252732,2024-12-09 21:43:37.253400,2024-12-09 22:25:44.322398,0 days 00:42:07.068998,224,33611,0.8200000000000001,1.447771995292394e-05,0.000371580451521721,11,COMPLETE
8,-71.87403179560819,2024-12-09 22:25:44.323398,2024-12-09 23:37:25.862237,0 days 01:11:41.538839,96,29780,0.9600000000000001,0.00013224462592948812,0.0014735700922801232,7,COMPLETE
9,116.24777361039283,2024-12-09 23:37:25.863237,2024-12-10 00:37:55.941790,0 days 01:00:30.078553,32,14473,0.8700000000000001,6.080201429623719e-05,0.0010194472990300984,7,COMPLETE
10,22.702061098484677,2024-12-10 00:37:55.942790,2024-12-10 01:16:49.133669,0 days 00:38:53.190879,256,545573,0.99,0.0008372618576814741,0.00011169409263243588,18,COMPLETE
11,-15.28487181833681,2024-12-10 01:16:49.134669,2024-12-10 02:05:23.422267,0 days 00:48:34.287598,96,109657,0.99,0.00015234555056468685,0.00010165245445647317,5,COMPLETE
12,30.74899642852772,2024-12-10 02:05:23.423267,2024-12-10 03:14:16.286096,0 days 01:08:52.862829,128,10515,0.9500000000000001,0.0004089988346077808,0.00251760784105026,13,COMPLETE
13,-31.776061302588904,2024-12-10 03:14:16.286096,2024-12-10 04:24:10.326951,0 days 01:09:54.040855,128,90039,0.9500000000000001,0.00018400884498606776,0.0024172633623823427,5,COMPLETE
14,82.200713358017,2024-12-10 04:24:10.327951,2024-12-10 05:13:40.355263,0 days 00:49:30.027312,64,147986,0.9700000000000001,0.00010414663124375985,0.0002527884057012326,14,COMPLETE
15,66.94634311157985,2024-12-10 05:13:40.356263,2024-12-10 06:23:22.896732,0 days 01:09:42.540469,160,55027,0.92,0.0003467600094099904,0.00165561482835599,4,COMPLETE
16,61.9251227750446,2024-12-10 06:23:22.896732,2024-12-10 07:30:01.317527,0 days 01:06:38.420795,64,261184,0.93,0.0009850387653617713,0.004005780206009725,11,COMPLETE
17,5.56009656825369,2024-12-10 07:30:01.318527,2024-12-10 08:24:41.621675,0 days 00:54:40.303148,64,24961,0.9700000000000001,8.971535290703945e-05,0.00018030671282623907,6,COMPLETE
18,51.53971803534145,2024-12-10 08:24:41.622675,2024-12-10 09:34:18.084975,0 days 01:09:36.462300,128,58781,0.8700000000000001,0.0005454589412072084,0.0006374443811357573,3,COMPLETE
19,-17.92567620113316,2024-12-10 09:34:18.085975,2024-12-10 10:41:16.481876,0 days 01:06:58.395901,192,11435,0.9700000000000001,0.00023097784058144881,0.001201881284313099,14,COMPLETE
